Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
2369,PP1,310,60,POPE, HN3 O13
2369,PP1,323,5,POPE, O14
2370,PP1,310,60,POPE, O13
2370,PP1,323,5,POPE, O14
2370,PP1,362,,, 
2371,PP1,310,60,POPE, O13
2371,PP1,323,5,POPE, O14
2372,PP1,310,60,POPE, O13
2372,PP1,323,5,POPE, O14
2373,PP1,310,60,POPE, O13
2373,PP1,323,5,POPE, O14
2374,PP1,310,60,POPE, O13
2374,PP1,323,5,POPE, O14
2375,PP1,310,60,POPE, O13
2375,PP1,323,5,POPE, O14
2376,PP1,310,60,POPE, O13
2376,PP1,323,5,POPE, O14
2377,PP1,310,60,POPE, O13
2377,PP1,323,5,POPE, O14
2378,PP1,310,60,POPE, O13
2378,PP1,323,5,POPE, O14
2379,PP1,310,60,POPE, O13
2379,PP1,323,5,POPE, O14
2380,PP1,310,60,POPE, O13
2380,PP1,323,5,POPE, O14
2381,PP1,310,60,POPE, O13
2381,PP1,323,5,POPE, O14
2382,PP1,310,60,POPE, O13 P
2382,PP1,323,5,POPE, O14
2383,PP1,310,60,POPE, O13
2383,PP1,323,5,POPE, O14
2384,PP1,310,60,POPE, O13
2384,PP1,323,5,POPE, O14
2385,PP1,310,60,POPE, O13
2385,PP1,323,5,POPE, O14 P
2386,PP1,310,60,POPE, O13
2386,PP1,323,5,POPE, O14
2387,PP1,310,60,POPE, O13
2387,PP1,323,5,POPE, O14
2388,PP1,310,60,POPE, O13
2388,PP1,323,5,POPE, O14
2389,PP1,310,60,POPE, O13
2389,PP1,323,5,POPE, O14
2390,PP1,310,60,POPE, O13
2390,PP1,323,5,POPE, O14
2391,PP1,310,60,POPE, O13
2391,PP1,323,5,POPE, O14
2392,PP1,310,60,POPE, O13
2392,PP1,323,5,POPE, O14
2393,PP1,310,60,POPE, O13
2393,PP1,323,5,POPE, O14
2394,PP1,310,60,POPE, O13
2394,PP1,323,5,POPE, O14
2395,PP1,310,60,POPE, O13
2395,PP1,323,5,POPE, O14
2396,PP1,310,60,POPE, O13
2396,PP1,323,5,POPE, O14
2397,PP1,310,60,POPE, O13
2397,PP1,323,5,POPE, O14
2398,PP1,310,60,POPE, O13
2398,PP1,323,5,POPE, O14
2399,PP1,310,60,POPE, O13
2399,PP1,323,5,POPE, O14
2400,PP1,310,60,POPE, O13
2400,PP1,323,5,POPE, O14
2401,PP1,310,60,POPE, O13
2401,PP1,323,5,POPE, O14
2402,PP1,310,60,POPE, O13
2402,PP1,323,5,POPE, O14
2403,PP1,310,60,POPE, O13
2403,PP1,323,5,POPE, O14
2404,PP1,310,60,POPE, O13
2404,PP1,323,5,POPE, O14
2405,PP1,310,60,POPE, O13
2405,PP1,323,5,POPE, O14
2406,PP1,310,60,POPE, O13
2406,PP1,323,5,POPE, O14
2407,PP1,310,60,POPE, O13
2407,PP1,323,5,POPE, O14
2408,PP1,310,60,POPE, O13
2408,PP1,323,5,POPE, O14
2409,PP1,310,60,POPE, O13
2409,PP1,323,5,POPE, O14
2410,PP1,310,60,POPE, O13
2410,PP1,323,5,POPE, O14
