Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
46,PP1,323,5539,5,POPE, O14
46,PP1,323,5586,5,POPE, O14
47,PP1,310,3739,104 74,POPE, HN1 HN3 O14
47,PP1,310,4054,60,POPE, O13
47,PP1,310,4452,53 60,POPE, O13
47,PP1,323,5514,,, 
47,PP1,323,5539,5,POPE, O14
47,PP1,323,5586,5,POPE, O14
48,PP1,310,3739,74,POPE, O14
48,PP1,310,4054,60,POPE, O13
48,PP1,310,4452,60,POPE, O13
48,PP1,323,5514,,, 
48,PP1,323,5539,5,POPE, O14
48,PP1,323,5586,5,POPE, O14
49,PP1,310,3739,74,POPE, O12 O14 P
49,PP1,310,4054,59 60,POPE, O13 P
49,PP1,310,4452,60 74,POPE, HN3 O13 O14
49,PP1,323,5514,,, 
49,PP1,323,5539,5,POPE, O14
49,PP1,323,5586,5,POPE, O14
50,PP1,310,3739,74,POPE, HN1 O12
50,PP1,310,4054,59 60,POPE, O13 P
50,PP1,310,4452,60 74,POPE, O13 O14 P
50,PP1,323,5514,,, 
50,PP1,323,5539,5,POPE, O14
50,PP1,323,5586,5,POPE, O14
51,PP1,310,3739,59 74,POPE, HN1 HN2 HN3 O12 O13 O14
51,PP1,310,4054,60,POPE, O13
51,PP1,310,4452,60 74,POPE, O13 O14 P
51,PP1,323,5514,,, 
51,PP1,323,5539,5,POPE, HN1 O14
51,PP1,323,5586,5,POPE, O14
52,PP1,310,3739,59 74,POPE, HN1 O12 O14 P
52,PP1,310,4054,59 60,POPE, O13 O14 P
52,PP1,310,4452,59 60,POPE, O13 O14
52,PP1,323,5514,,, 
52,PP1,323,5539,5,POPE, O14
52,PP1,323,5586,5,POPE, O14
53,PP1,310,3739,59 74,POPE, HN3 O12 O14 P
53,PP1,310,4054,59 60,POPE, O12 O13 O14 P
53,PP1,310,4452,59 60,POPE, O13 O14
53,PP1,323,5514,,, 
53,PP1,323,5539,5,POPE, O14
53,PP1,323,5586,5,POPE, O14
54,PP1,310,3739,59 74,POPE, HN2 HN3 O14
54,PP1,310,4054,60,POPE, O13
54,PP1,310,4452,59 60 74,POPE, HN3 O11 O12 O13 O14 P
54,PP1,323,5514,,, 
54,PP1,323,5539,5,POPE, O14
54,PP1,323,5586,5,POPE, O14
55,PP1,310,3739,,, 
55,PP1,310,4054,60,POPE, O13
55,PP1,310,4452,60,POPE, O13
55,PP1,323,5514,,, 
55,PP1,323,5539,5,POPE, O14
55,PP1,323,5586,5,POPE, O14
56,PP1,310,3739,74,POPE, O12 O14 P
56,PP1,310,4054,60,POPE, O13
56,PP1,310,4452,60 74,POPE, O13 O14
56,PP1,323,5514,,, 
56,PP1,323,5539,5,POPE, O12 O14
56,PP1,323,5586,5,POPE, O14
57,PP1,310,3739,74,POPE, HN3
57,PP1,310,4054,60,POPE, O13
57,PP1,310,4452,60 74,POPE, O13 O14 P
57,PP1,323,5514,,, 
57,PP1,323,5539,5,POPE, O14
57,PP1,323,5586,15 5,POPE, HN2 O14
58,PP1,310,3739,,, 
58,PP1,310,4054,60,POPE, O13
58,PP1,310,4452,60,POPE, O13
58,PP1,323,5514,,, 
58,PP1,323,5539,5,POPE, O14
58,PP1,323,5586,5,POPE, O14
59,PP1,310,3739,74,POPE, HN1 HN2
59,PP1,310,4054,60,POPE, O13
59,PP1,310,4452,53 60 74,POPE, O13 O14 P
59,PP1,323,5514,,, 
59,PP1,323,5539,5,POPE, O14
59,PP1,323,5586,5,POPE, O14
60,PP1,310,3739,74,POPE, HN3 O14 P
60,PP1,310,4054,53 60,POPE, O13 O14 P
60,PP1,310,4452,53 60 74,POPE, O13 O14 P
60,PP1,323,5514,,, 
60,PP1,323,5539,5,POPE, O14
60,PP1,323,5586,5,POPE, O14
61,PP1,310,3739,74,POPE, HN1 HN3 N O12 O13
61,PP1,310,4054,60,POPE, O13
61,PP1,310,4452,60 74,POPE, O12 O13 O14 P
61,PP1,323,5514,,, 
61,PP1,323,5539,5,POPE, O14
61,PP1,323,5586,5,POPE, O14
62,PP1,310,3739,74,POPE, HN3
62,PP1,310,4054,60,POPE, O13
62,PP1,310,4452,60 74,POPE, O13 P
62,PP1,323,5514,,, 
62,PP1,323,5539,5,POPE, O12 O14
62,PP1,323,5586,5,POPE, O14
63,PP1,310,3739,74,POPE, HN1 HN2
63,PP1,310,4054,60,POPE, O13
63,PP1,310,4452,60,POPE, O13
63,PP1,323,5514,,, 
63,PP1,323,5539,5,POPE, O14
63,PP1,323,5586,5,POPE, O13 O14
64,PP1,310,3739,74,POPE, HN1 HN3
64,PP1,310,4054,60,POPE, O13
64,PP1,310,4452,60 74,POPE, O13 O14 P
